Timeline ID,Date / Period,Start date,End date,Duration,Lifecycle Stage,Event / Milestone,Regulatory / CMC Meaning,Submission / Procedure Type,Key Documents / Dossier Sections,Functional Owner,Status as of 11 May 2026,Notes / Portfolio Logic
T-001,Q1 2018,1/1/2018,3/31/2018,90,Discovery / Candidate Selection,Novalexib selected as lead EP4 receptor antagonist,Target product profile created for osteoarthritis pain with lower GI risk than NSAIDs,Internal development milestone,Target Product Profile; early non-clinical strategy; early CMC developability report,R&D / Clinical Strategy,Completed,Scientific starting point for the fictional Novalex lifecycle.
T-002,Q2 2018,4/1/2018,6/30/2018,91,API Development,Initial synthetic route designed,Five-step convergent synthesis developed from fluoroaniline and pyridine precursors,Internal CMC milestone,Module 3.2.S.2.2 draft; route selection report; impurity risk assessment,CMC / Process Chemistry,Completed,Establishes API route and impurity control strategy.
T-003,Q3 2018,7/1/2018,9/30/2018,92,API Characterisation,API physical and chemical characterisation completed,White to off-white crystalline powder; low aqueous solubility identified,Internal CMC milestone,3.2.S.3.1; 3.2.S.3.2; solubility profile; polymorph screen,Analytical Development,Completed,BCS Class II risk begins to shape CMC strategy.
T-004,Q4 2018,10/1/2018,12/31/2018,92,Pre-formulation,BCS Class II risk confirmed,Low solubility and high permeability confirm dissolution as a critical quality attribute,Internal CMC milestone,Pre-formulation report; particle size strategy; dissolution method strategy,Formulation / Analytical Development,Completed,Justifies tight particle-size and dissolution controls.
T-005,Q1 2019,1/1/2019,3/31/2019,90,Drug Product Development,Film-coated tablet concept selected,Immediate-release oral film-coated tablets selected for 25 mg and 50 mg strengths,Internal CMC milestone,3.2.P.1; 3.2.P.2; excipient compatibility studies,Formulation Development,Completed,"Tablet platform selected with MCC, lactose, croscarmellose sodium, magnesium stearate, colloidal silicon dioxide and Opadry II coating."
T-006,Q2 2019,4/1/2019,6/30/2019,91,Analytical Development,Dissolution method developed,Dissolution method positioned as surrogate for bioavailability due to BCS Class II behavior,Internal CMC milestone,3.2.P.5.2; 3.2.P.5.3; dissolution validation; discriminatory method report,Analytical Development,Completed,"Important for later formulation, process and site changes."
T-007,Q3 2019,7/1/2019,9/30/2019,92,Non-clinical Development,GLP toxicology package initiated,Non-clinical safety package started to support first-in-human dosing,CTA / IND-enabling package,Module 4 toxicology reports; safety pharmacology; genotoxicity,Non-clinical / Toxicology,Completed,Can include hepatic monitoring as a point of attention.
T-008,Q4 2019,10/1/2019,12/31/2019,92,GMP Readiness,API pilot-scale GMP batch manufactured,Clinical API material generated for early clinical studies,Internal GMP milestone,Batch records; certificate of analysis; impurity profile; stability protocol,CMC / QA,Completed,"Original API manufacturer: Chembridgx Synthesis GmbH, Frankfurt, Germany."
T-009,Q1 2020,1/1/2020,3/31/2020,91,Drug Product GMP,Clinical tablet batches manufactured,25 mg and 50 mg clinical film-coated tablet batches manufactured and released,Internal GMP milestone,3.2.P.3.3 draft; batch records; certificate of analysis; release specifications,Drug Product Manufacturing / QA,Completed,"Wet granulation, drying, milling, blending, compression, film coating and packaging process established."
T-010,Q2 2020,4/1/2020,6/30/2020,91,Clinical Development,Phase I SAD/MAD study completed,"Safety, tolerability, PK and dose proportionality established",Clinical trial milestone,Module 5 clinical study report; PK report; investigator brochure update,Clinical / Clinical Pharmacology,Completed,Supports once-daily dosing based on approximately 14-hour half-life.
T-011,Q3 2020,7/1/2020,9/30/2020,92,Clinical Pharmacology,Food-effect and DDI planning completed,Food flexibility and CYP interaction risks assessed,Clinical pharmacology milestone,Food-effect protocol; DDI protocol; 2.7.2 clinical pharmacology summary,Clinical Pharmacology,Completed,Supports later SmPC language on dosing with or without food and CYP3A4/CYP2C9 interaction management.
T-012,Q4 2020,10/1/2020,12/31/2020,92,Packaging Development,PVC/PVDC-aluminium blister selected,Moisture-protective blister packaging selected for commercial product,Internal CMC milestone,3.2.P.7; packaging compatibility; extractables/leachables justification,Packaging / CMC,Completed,"Primary packaging selected for 14, 28 and 56 tablet pack sizes."
T-013,Q1 2021,1/1/2021,3/31/2021,90,Phase II,NOVA-201 initiated,Dose-finding study in adults with knee osteoarthritis initiated,Clinical trial milestone,Protocol; Investigator Brochure; IMPD; CTA documents,Clinical Operations,Completed,"Arms: 10 mg, 25 mg, 50 mg and placebo over 12 weeks."
T-014,Q3 2021,7/1/2021,9/30/2021,92,Phase II,NOVA-201 completed,25 mg and 50 mg selected for Phase III development,Clinical development milestone,Clinical study report; dose selection memo; statistical outputs,Clinical / Biostatistics,Completed,10 mg did not separate from placebo; 25 mg and 50 mg showed meaningful WOMAC pain improvement.
T-015,Q4 2021,10/1/2021,12/31/2021,92,EU Scientific Advice,EMA scientific advice sought,"EMA advice obtained on Phase III endpoints, comparator, safety database and regulatory strategy",Scientific advice,EMA briefing package; questions to EMA; meeting minutes,Regulatory Strategy,Completed,Shows proactive EU regulatory planning for the portfolio.
T-016,Q1 2022,1/1/2022,3/31/2022,90,Phase III Start,NOVA-301 initiated,Pivotal Phase III placebo- and active-controlled trial begins,Clinical trial milestone,Protocol; SAP; CTA; IMPD update,Clinical Operations,Completed,Study includes knee and hip OA; placebo and naproxen active comparator.
T-017,Q2 2022,4/1/2022,6/30/2022,91,Process Validation Planning,Commercial process validation strategy approved,Commercial wet granulation and tablet manufacturing control strategy finalised,Internal CMC milestone,PPQ protocol; control strategy; process risk assessment,CMC / MSAT / QA,Completed,Prepares Module 3 commercial manufacturing section.
T-018,Q3 2022,7/1/2022,9/30/2022,92,Stability,Primary stability programme initiated,Stability programme started to support proposed shelf life and storage conditions,Internal CMC milestone,3.2.P.8.1; 3.2.P.8.2; stability protocols,Stability / QA,Completed,Initial stability package later supports approval and shelf-life extension.
T-019,Q4 2022,10/1/2022,12/31/2022,92,Commercial Site Readiness,"NovaTech Pharma Ltd, Cork confirmed as DP manufacturing and packaging site",EU-based finished product manufacture and packaging chain locked,Internal CMC / GMP milestone,Site master file; MIA/GMP evidence; manufacturing flow chart,CMC / QA / Supply Chain,Completed,Commercial DP manufacturing and packaging site established in Ireland.
T-020,Q1 2023,1/1/2023,3/31/2023,90,Phase III Completion,NOVA-301 completed,Pivotal efficacy and safety dataset locked,Clinical milestone,CSR; statistical outputs; integrated safety and efficacy inputs,Clinical / Biostatistics,Completed,Positive WOMAC pain results with lower GI adverse events than naproxen; ALT/AST elevations observed in novalexib arms.
T-021,Q2 2023,4/1/2023,6/30/2023,91,MAA Preparation,EU MAA dossier compilation begins,CTD Modules 1 to 5 compiled for initial EU approval,Centralised MAA preparation,Module 1-5; RMP; product information; mock-ups,Regulatory Affairs,Completed,Start of formal EU submission readiness phase.
